,Listing,Price,Address,Link,Floor_space_m²,Number_bedrooms,Area
119,3 Bed House in Oranjezicht,10900000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T2314918,545,3, Oranjezicht
120,3 Bed House in Oranjezicht,10900000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T1532812,447,3, Oranjezicht
121,4 Bed House in Oranjezicht,11595000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3396466,842,4, Oranjezicht
122,4 Bed House in Oranjezicht,11700000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3431030,350,4, Oranjezicht
123,4 Bed House in Oranjezicht,13000000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T2906187,232,4, Oranjezicht
124,5 Bed House in Oranjezicht,13500000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3398826,400,5, Oranjezicht
125,4 Bed House in Oranjezicht,13890000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3452664,702,4, Oranjezicht
126,4 Bed House in Oranjezicht,14495000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3123612,965,4, Oranjezicht
127,3 Bed House in Oranjezicht,20950000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T2486114,942,3, Oranjezicht
128,4 Bed House in Oranjezicht,21500000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3456206,428,4, Oranjezicht
130,Studio apartment in Oranjezicht,1390000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3043265,40,Studio, Oranjezicht
131,1 Bed Apartment in Oranjezicht,1395000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3258703,40,1, Oranjezicht
