,Listing,Price,Address,Link,Floor_space_m²,Number_bedrooms,Area
988,4 Bed House in Fairways,2600000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/T3468328,495,4, Fairways
989,3 Bed House in Claremont,2600000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3425143,124,3, Claremont
990,2 Bed Apartment in Rondebosch,2600000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch/T3309475,97,2, Rondebosch
991,3 Bed House in Claremont,2600000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3218806,124,3, Claremont
992,2 Bed Apartment in Kenilworth,2600000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3144928,67,2, Kenilworth
993,2 Bed Flat in Kenilworth Upper,2600000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T2208974,66,2, Kenilworth Upper
994,2 Bed Apartment in Kenilworth Upper,2605000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T2653445,125,2, Kenilworth Upper
995,3 Bed House in Kirstenhof,2625000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kirstenhof/T2793578,117,3, Kirstenhof
996,2 Bed Apartment in Wynberg Upper,2650000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/T3477801,135,2, Wynberg Upper
997,3 Bed House in Plumstead,2650000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/T3457918,172,3, Plumstead
998,2 Bed Apartment in Claremont Upper,2650000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3432844,79,2, Claremont Upper
999,3 Bed House in Kenwyn,2650000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/lansdowne/T3402371,138,3, Kenwyn
1000,3 Bed Townhouse in Harfield Village,2650000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/harfield-village/T3400907,110,3, Harfield Village
1001,3 Bed House in Lansdowne,2650000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/lansdowne/T3387701,150,3, Lansdowne
1002,3 Bed House in Thornton,2650000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/thornton/T3364754,595,3, Thornton
1003,3 Bed House in Lansdowne,2650000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/lansdowne/T3246161,170,3, Lansdowne
1004,3 Bed Townhouse in Wynberg Upper,2650000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/T3234726,146,3, Wynberg Upper
1005,3 Bed Apartment in Kenilworth Upper,2650000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3120534,119,3, Kenilworth Upper
1006,3 Bed Townhouse in Wynberg Upper,2650000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/T2954848,146,3, Wynberg Upper
1007,3 Bed Townhouse in Wynberg Upper,2650000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/T2857657,146,3, Wynberg Upper
1008,2 Bed House in Wynberg Upper,2690000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/T3451465,203,2, Wynberg Upper
1009,4 Bed House in Rondebosch East,2695000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch-east/T3443802,176,4, Rondebosch East
1010,3 Bed House in Thornton,2695000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/thornton/T3433833,206,3, Thornton
1011,3 Bed House in Thornton,2695000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/thornton/T3415739,206,3, Thornton
1013,3 Bed Cluster in Kenilworth,2695000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3286327,120,3, Kenilworth
